"DateID","LabID","CRA","Error","Material","Species","SiteID","SiteName","Longitude","Latitude","Region"
200001,"AA-10270",2585,60,"bone","animal",29,"Dún Aonghasa",-9.7681,53.1258,"Ireland"
200002,"AA-10271",1545,55,"charcoal (twig)","Juniperus",29,"Dún Aonghasa",-9.7681,53.1258,"Ireland"
200003,"AA-10273",2785,60,"bone","animal",29,"Dún Aonghasa",-9.7681,53.1258,"Ireland"
200004,"AA-10274",2295,60,"bone (charred)","animal",29,"Dún Aonghasa",-9.7681,53.1258,"Ireland"
200005,"AA-10275",9015,80,"bone","animal",29,"Dún Aonghasa",-9.7681,53.1258,"Ireland"
215465,"AA-10276",2625,60,"bone","animal",29,"Dún Aonghasa",-9.7681,53.1258,"Ireland"
200006,"AA-10277",1460,165,"charcoal",,34,"Chancellorsland, site C",-8.3569,52.4735,"Ireland"
215466,"AA-10278",3145,50,"charcoal","Quercus",38,"Chancellorsland, site A",-8.3638,52.4753,"Ireland"
215467,"AA-10280",3270,50,"charcoal","Corylus",38,"Chancellorsland, site A",-8.3638,52.4753,"Ireland"
200007,"AA-10281",1975,50,"bone","Homo sapiens",43,"Raffin Fort",-6.7567,53.7867,"Ireland"
215468,"AA-10297",4085,60,"charcoal",,38,"Chancellorsland, site A",-8.3638,52.4753,"Ireland"
215469,"AA-10499",8990,65,"bone","Bos",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200009,"AA-10505",1990,50,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200010,"AA-10506",1860,50,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200011,"AA-10507",1870,50,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200014,"AA-11692",3161,71,"grain (charred)","Hordeum vulgare",83,"Brough Head",-1.2831,59.8844,"Scotland"
200015,"AA-11693",1787,66,"grain (charred)","Cerealia?",83,"Brough Head",-1.2831,59.8844,"Scotland"
200016,"AA-11694",1590,66,"grain (charred)","Cerealia?",83,"Brough Head",-1.2831,59.8844,"Scotland"
200017,"AA-11695",1914,59,"grain (charred)","Hordeum vulgare",83,"Brough Head",-1.2831,59.8844,"Scotland"
200018,"AA-11696",1333,64,"bone","animal",91,"Fair Isle, Kirki Geo",-1.6468,59.5147,"Scotland"
200019,"AA-11697",4505,60,"bone","Homo sapiens",97,"Point of Cott, Westray",-2.9407,59.3102,"Scotland"
200020,"AA-11698",4585,85,"bone","Homo sapiens",97,"Point of Cott, Westray",-2.9407,59.3102,"Scotland"
200021,"AA-11757",1295,55,"charcoal","Alnus,Corylus",101,"Hoddom",-3.3036,55.0427,"Scotland"
200022,"AA-11758",1095,50,"charcoal","Betula,Alnus,Corylus",101,"Hoddom",-3.3036,55.0427,"Scotland"
200023,"AA-11759",990,55,"charcoal","Corylus",101,"Hoddom",-3.3036,55.0427,"Scotland"
200024,"AA-11766",2955,85,"charcoal","Larix,Coniferidae",115,"Stancro, Westray",-2.8773,59.2476,"Scotland"
200025,"AA-11767",3205,55,"charcoal",,115,"Stancro, Westray",-2.8773,59.2476,"Scotland"
200027,"AA-12587",4150,70,"charcoal","Pomoideae,Corylus",214,"Beckton Farm, Lockerbie",-3.3652,55.1286,"Scotland"
200028,"AA-12588",4660,95,"charcoal","Pomoideae,Corylus,Quercus",214,"Beckton Farm, Lockerbie",-3.3652,55.1286,"Scotland"
200029,"AA-12595",940,75,"bone","Homo sapiens",220,"Quoy Banks, Sanday",-2.5671,59.2978,"Scotland"
200030,"AA-12596",1040,60,"bone","Homo sapiens",220,"Quoy Banks, Sanday",-2.5671,59.2978,"Scotland"
200031,"AA-12597",1155,60,"bone","Homo sapiens",220,"Quoy Banks, Sanday",-2.5671,59.2978,"Scotland"
200033,"AA-13802",1245,70,"grain (charred)","Cerealia?",280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200034,"AA-13803",1275,55,"seeds (charred)","Linum usitatissimum",280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200035,"AA-13804",1225,60,"grain (charred)","Hordeum vulgare",280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200036,"AA-13805",1625,55,"grain (charred)","Cerealia",280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200037,"AA-13806",1105,55,"grain (charred)","Cerealia?",280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200038,"AA-13807",1740,55,"seeds (charred)",,280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200039,"AA-13808",1280,60,"bone","Homo sapiens",280,"Upper Scalloway",-1.2708,60.1416,"Scotland"
200040,"AA-13810",3210,65,"charcoal","Alnus,Betula",308,"Halmie",-3.5072,58.2808,"Scotland"
200041,"AA-13811",2890,60,"charcoal","Alnus,Betula,Pomoideae",308,"Halmie",-3.5072,58.2808,"Scotland"
200042,"AA-13812",305,50,"charcoal",,313,"Roberts Haven",-3.0544,58.6459,"Scotland"
200043,"AA-13813",640,55,"charcoal",,313,"Roberts Haven",-3.0544,58.6459,"Scotland"
200044,"AA-13997",1940,60,"grain (charred)","Cerealia",325,"Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200045,"AA-13998",1815,70,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200046,"AA-13999",1880,60,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200047,"AA-14000",1850,60,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200048,"AA-14001",1810,60,"grain (charred)","Hordeum vulgare",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200049,"AA-14002",1915,60,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200050,"AA-14003",1925,60,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200051,"AA-14004",2086,55,"bone","Cervus elaphus",325,"Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
1479,"AA-14701",2695,65,"charcoal",,386,"Dairy Lane, Nursling, Dummer, Basingstoke and Deane",-1.4785,50.943,"SEEngland"
200052,"AA-14702",1750,70,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200053,"AA-14703",1495,65,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200054,"AA-14704",1245,70,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
200055,"AA-14705",1495,55,"grain (charred)","Cerealia?",49,"Bornish, Dun Vulan, South Uist",-7.4492,57.2406,"Scotland"
62320,"AA-14706",810,55,"grain (charred)","Hordeum vulgare",387,"Robert’s Haven",-3.0544,58.6459,"Scotland"
62319,"AA-14707",590,65,"grain (charred)","Hordeum vulgare",387,"Robert’s Haven",-3.0544,58.6459,"Scotland"
200056,"AA-15209",1585,50,"charcoal",,442,"Aled Isaf, site P1",-3.6228,53.1225,"NWEnglandWales"
200057,"AA-15210",1955,50,"charcoal",,458,"Aled Isaf, site P2",-3.6243,53.1211,"NWEnglandWales"
200058,"AA-15211",1930,50,"charcoal",,442,"Aled Isaf, site P1",-3.6228,53.1225,"NWEnglandWales"
200059,"AA-15212",1315,50,"charcoal",,442,"Aled Isaf, site P1",-3.6228,53.1225,"NWEnglandWales"
226314,"AA-17451",3390,60,"charcoal","Betula",588,"Camps Reservoir",-5.1483,55.4513,"Scotland"
215470,"AA-17452",5420,65,"charcoal","cf Fraxinus",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
200062,"AA-17453",2085,55,"nutshell (charred)","Corylus avellana",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
215471,"AA-17454",5290,65,"charcoal","Coniferidae",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
200063,"AA-17455",3110,55,"charcoal","Alnus,Salix/Populus",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
200064,"AA-17456",3120,50,"charcoal","Corylus avellana",600,"Gleann Sheileach, Lon Mor",-5.4799,56.3985,"Scotland"
215472,"AA-17457",6240,65,"nutshell (charred)","Corylus avellana",650,"Lón Mór, Oban",-5.4799,56.3985,"Scotland"
56741,"AA-17460",4665,60,"charcoal","Alnus glutinosa",731,"Lairg",-4.4035,57.9881,"Scotland"
215473,"AA-17461",4775,60,"charcoal","Alnus glutinosa",731,"Lairg",-4.4035,57.9881,"Scotland"
