Longitude,Latitude,Site Name,Trinomial,Assay No.,Provenience (if known),Feature Type (if any),Material,Taxa dated,Status ,Human,Age,Error,Corrected/Raw,Normalized 14C age,Normalized age error,Delta 13C,Delta 13C source,Raw/Measured Age,� Raw/Measured Age,AMS or Radiometric,Comments,Reference,pdf,Easting,Northing,UTM,Datum,Zone,Region,northing, easting, zone,,
-98.51,29.56,Higgins Site,41BX184,Beta-64759,"Template 1W, Strat 197-2",,charcoal,,1A,No,30,50,Corrected,30,50,-26.9,,60,,,,,,547812,3270321,14,NAD 83,Inland,CTx,3270321,547812,14,,
-97.75,30.39,Millican Bench,41TV163,UGA-12306,"Feature 3, Level 1, S185/E160, 0-0.5 ft",,charcoal,,1A,No,40,40,Corrected,40,40,-26,measured,40,40,AMS,"Millican 188-004, not considered appropriate for calendar calibration; modern but left in","Mauldin, R., Tomka, S., Shafer, H. (2004). Millican Bench (41TV163) A multicomponent site in Travis County, Texas. Texas Department of Transportation Archaeological report No. 66",Mauldin 2004,619957,3362487,14,NAD 83,Inland,CTx,3362487,619957,14,,
-100.07,30.02,Varga ,41ED28,UGA-12731,"Blk. B, Unit N120/E71, 20-30 cm",,Sherd ,,1A,No,60,40,Corrected,60,40,-22.8,measured,21,40,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,397193,3321947,14,NAD 83,Inland,CTx,3321947,397193,14,,
-97.75,30.39,Millican Bench,41TV163,UGA-12308,"Level 1, Area E, 0-0.5 ft",,charcoal,,1A,No,60,40,Corrected,60,40,-25.1,measured,60,40,AMS,"Millican 202-003, not considered appropriate for calendar calibration; 60 +-40 BP, Modern but left in","Mauldin, R., Tomka, S., Shafer, H. (2004). Millican Bench (41TV163) A multicomponent site in Travis County, Texas. Texas Department of Transportation Archaeological report No. 66",Mauldin 2004,619957,3362487,14,NAD 83,Inland,CTx,3362487,619957,14,,
-97.78,31.36,,41CV115,OxA-21510,"Unit #25.696R16.759, Feature #VI (F21), Depth 25-30cm",,CHARCOAL,,1A,No,61,29,Corrected,61,29,-29,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-98.47,29.36,"Area II-C, Site TK-1",41BX1628,Beta-260902,Unit 44 Level 6,,charred material,,1A,No,70,40,Corrected,70,40,-25.8,,80,,,,,,551419,3248427,14,NAD 83,Inland,CTx,3248427,551419,14,,
-101.93,31.02,,41CX198,B-21618,"Unit 1, Level 1, basin",Midden,,,1A,No,70,50,Corrected,70,50,,,,,,Few details listed. Reference given (Carlson & Mueller-Wille 1994) not located in search.�,"Turpin, Solveig A., 2000. Block 13: Archeological Survey on University Lands Crockett County, Texas. The University of Texas at Austin. ",Turpin 2000,220436,3435893,14,NAD 83,Inland,CTx,3435893,220436,14,,
-95.45,29.05,Shy Pond Complex (Central),41BO19,PSUAMS-2466, , ,Bone Collagen, ,1A,No,75,20,Corrected,75,20,-9.5,Measured,0,0,AMS, ,"Lohse Database, 2017",Lohse Database 2017 (Multi County).pdf,261234,3216089,15,NAD 83,Coastal,TCP,3216089,261234,15,,
-98.48,29.47,Olmos,41BX1,TX-3993,"Zone 2 Area A, N1002 E1012, Feature 2, elevation 98.78-98.67",,charcoal,,1A,No,80,160,Corrected,80,160,,,1920,,,,,,550857,3260641,14,NAD 83,Inland,CTx,3260641,550857,14,,
-98.71,29.42,Medio Creek,41BX1421,Beta-163785,"Unit 5, Level 2",,charcoal,,1A,No,80,40,Corrected,80,40,-24.4,,70,,,,,,528130,3254627,14,NAD 83,Inland,CTx,3254627,528130,14,,
-97.78,31.36,,41CV115,UCIAMS-19134,"Unit #25R18, Feature #I (F6), Depth 0-1cm",,CHARCOAL,,1A,No,80,15,Corrected,80,15,-23.2,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-100.07,30.02,Varga ,41ED28,Beat-175405,"Fea. 8, Blk. B, Unit N118/E70, 10-20 cm",,Charcoal,,1A,No,80,30,Corrected,80,30,-22.5,measured,40,30,,,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,397193,3321947,14,NAD 83,Inland,CTx,3321947,397193,14,,
-100.07,30.02,Varga ,41ED28,Beta-175405,,,Charred material,,1A,No,80,30,Corrected,80,30,-22.5,measured,40,30,AMS,Sample: ED28/843-005-7-1A,"Quigg, J. Michael, et al., 2008. The Varga Site: A Multicomponent, Stratified Campsite in the Canyonlands of Edwards County, Texas. TRC Enviromental Corporation, Austin, Texas. Technical Report No. 35319. ",Quigg 2008.pdf,397193,3321947,14,NAD 83,Inland,CTx,3321947,397193,14,,
-97.97,29.87,Zapotec,41HY163,UGAMS-4428,"Unit 68, Level 3",,tooth enamel,Bison bison,1A,No,80,25,Corrected,80,25,,,,,AMS,"Field number: 598-1009, tooth enamel sampled, enamel bioapatite","2011 Lohse Jon. Prehistoric life, labor, and residence southeast central Texas (41HY163)Archaeological Studies Report 18. Center for Archaeological Studies Texas State University-San Marcos",Lohse 2011,599753,3304750,14,NAD 83,Inland,CTx,3304750,599753,14,,
-97.78,31.36,,41CV115,UCIAMS-19135,"Unit #25R18, Feature #I (F6), Depth 0-1cm",,CHARCOAL,,1A,No,85,20,Corrected,85,20,-27.4,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-97.78,31.36,,41CV115,UCIAMS-19136,"Unit #25R18, Feature #I (F6), Depth 0-1cm",,CHARCOAL,,1A,No,85,20,Corrected,85,20,-27.4,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-95.63,29.79,Park Row- South,41HR184,Beta - 457768,"Unit 14, Sub E, Level 8", ,Charcoal, ,1A,No,90,30,Corrected,90,30,-26,Measured,0,0, , ,"Costa Database, 2018", ,246206,3298185,15,NAD 83,Riverine,TCP,3298185,246206,15,,
-97.78,31.36,,41CV115,OxA-21394,"Unit #25R16, Depth 0-5cm",,CHARCOAL,,1A,No,94,26,Corrected,94,26,-25.7,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-97.78,31.36,,41CV115,UCIAMS-19137,"Unit #25R18, Feature #I (F6), Depth 1-6cm",,CHARCOAL,,1A,No,100,20,Corrected,100,20,-28.8,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-97.78,31.36,,41CV115,UCIAMS-19140,"Unit #25R18, Feature #I (F6), Depth 0-5cm",,CHARCOAL,,1A,No,100,15,Corrected,100,15,-29.3,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-97.82,31.27,,41CV595,BETA-149092,"Unit #51, Depth 28cm",,CHARCOAL,,1A,No,100,40,Corrected,100,40,-28.6,measured,,,AMS,,Fort Hood Database,,612473,3459958,14,NAD 83,Inland,CTx,3459958,612473,14,,
-97.6,31.23,,41CV760,BETA-167178,"Unit #1, Feature #1, Depth 40-50cm",BRMI,CHARCOAL,ELM,1A,No,100,40,Corrected,100,40,-25.7,measured,,,AMS,,Fort Hood Database,,633500,3456253,14,NAD 83,Inland,CTx,3456253,633500,14,,
-98.46,29.33,,41BX256,D-AMS 008612,Fea 14,,assume C3,,1A,No,101,20,Corrected,101,20,-24.2,,108,,,,,,552750,3244313,14,NAD 83,Inland,CTx,3244313,552750,14,,
-97.64,31.15,,41BL740,BETA-74070,,BR CONCENTRATION,CHARCOAL,,1A,No,110,60,Corrected,110,60,,,,,,,Fort Hood Database,,630080,3447291,14,NAD 83,Inland,CTx,3447291,630080,14,,
-99.99,30.5,Buckhollow ,41KM16,Tx-2856,,,,,1A,No,110,50,Corrected,110,50,,,,,,,"Ricklis, R., 1994. Archaic and Late Prehistory Human Ecology in the Middle Onion Creek Valley, Hays County, Texas.�Studies in Archeology�19, TARL. Vol. 1 and 2.�",Ricklis1994.pdf,404845,3374082,14,NAD 83,Inland,CTx,3374082,404845,14,,
-97.93,26.33, ,41HG128,Beta-32977,"Test Unit 5, Level 3",Pit,Charcoal, ,1A,No,120,80,Corrected,120,80,-25.3,Measured,130,80,AMS,No site name given.,"Bousman et al; 1990; Prehistoric Archeology and Paleoenviroments in Hidalgo and Willacy Counties, South Texas: Results of the Phase II Test Excavations; Reports of Investigations, Number 76; Prewitt and Associates, Inc. �",Bousman1990.pdf,606510,2912914,14,NAD 83,Riverine,TCP,2912914,606510,14,,
-97.67,31.17,,41BL886,BETA-75171,,,CHARCOAL,,1A,No,120,70,Corrected,120,70,-27.2,measured,,,,,Fort Hood Database,,627018,3449015,14,NAD 83,Inland,CTx,3449015,627018,14,,
-98.66,29.38,Lackland Site #46,41BX1114,Beta-96367,Feature 1,,charred material,,1A,No,120,50,Corrected,120,50,-24.1,,110,,,,,,533213,3250596,14,NAD 83,Inland,CTx,3250596,533213,14,,
-98.48,29.38,,41BX1621,Beta-219921,Unit 5 Levels 3 and 4 (99.79-99.59m) Feature 2,,charred material,,1A,No,120,40,Corrected,120,40,-26.7,,150,,,,,,550234,3249676,14,NAD 83,Inland,CTx,3249676,550234,14,,
-99.78,30.48,Flatrock Road ,41KM69,UGA-13508,"Area 2, TU 8, Feature 2, 39cmbs",Hearth,Charcoal,,1A,No,120,40,Corrected,120,40,-23.58,measured,100,40,AMS  ,Sample ID: 41KM69-402,"Thompson, Jennifer L. at al, 2012. Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas. Center for Archaeological Research, The University of Texas at San Antonio. Archaeological Report, No. 419. ",Thompson 2012.pdf,425417,3371981,14,NAD 83,Inland,CTx,3371981,425417,14,,
-99.78,30.48,Flatrock Road ,41KM69,UGA-14030,"Area 3, BHT6, Ck1/Ab1, 73cmbs",Burned rock cluster,Charcoal,,1A,No,120,80,Corrected,120,80,-27.01,measured,150,80,AMS,Sample ID: 41KM69-321,"Thompson, Jennifer L. at al, 2012. Archeological Testing and Data Recovery at the Flatrock Road Site, 41KM69, Kimble County, Texas. Center for Archaeological Research, The University of Texas at San Antonio. Archaeological Report, No. 419. ",Thompson 2012.pdf,425417,3371981,14,NAD 83,Inland,CTx,3371981,425417,14,,
-94.94,29.22, ,41GV66,D-AMS 030212,Burial F 62-2, ,Bone Collagen,Homo sp,1B,Yes,122,22,Corrected,122,22,0, ,0,0,AMS, ,Mauldin Database, ,311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-97.6,29.66,Troll,41CW92,UGA-13315,"83 cm, elevation 98.40 m", ,charcoal, ,1A,No,130,50,Corrected,130,50,-21.98,measured,80,50,AMS,"sample should have been slightly younger than samples from feature 4, but returned with a young date. This suggests mixing of subsurface material or contamination of the sample. Sample # E6-5-149","2005 Miller K. Significance Testing at the Troll Site 41CW92 Caldwell County Texas. Archaeological studies Rpt:77, SWCA Rpt: 2005-137",Miller 2005,635460,3281439,14,NAD 83,Inland,TCP,3281439,635460,14,,
-94.94,29.22,Mitchell Site,41GV66,Beta-55865,Feature 64-4, ,Charcoal, ,1A,No,130,80,Corrected,130,80,0, ,150,80, , ,"Ricklis, Robert A.; 1994; Aboriginal Life and Culture on the Upper Texas Coast: Archaeology at the Mitchell Ridge Site, 41GV66, Galveston Island; Coastal Archaeological Research, Inc., Corpus Christi, Texas","Ricklis, 1994.pdf",311769,3233720,15,NAD 83,Coastal,TCP,3233720,311769,15,,
-98.47,29.46,Brackenridge Park Paddle Boats,41BX323,Beta-127003,"Area D, Unit 1, Level 6",,charred material,,1A,No,130,60,Corrected,130,60,-25,,130,,,,,,551400,3259248,14,NAD 83,Inland,CTx,3259248,551400,14,,
-97.57,31.24,,41CV111,BETA-63002,"Unit #2, Feature #2, Depth 50-60cm",HEARTH,CHARCOAL,,1A,No,130,90,Corrected,130,90,-25.7,measured,140,90,,,Fort Hood Database,,635719,3457367,14,NAD 83,Inland,CTx,3457367,635719,14,,
-97.61,31.24,,41CV379,BETA-83347,"Unit #1, Feature #1, Depth 40-50cm",BRMI,CHARCOAL,OAK,1A,No,130,60,Corrected,130,60,-23.2,measured,,,,,Fort Hood Database,,632024,3456980,14,NAD 83,Inland,CTx,3456980,632024,14,,
-99.99,30.5,Buckhollow ,41KM16,Beta-305752,,,Charcoal,,1A,No,130,30,Corrected,130,30,-26.7,measured,160,30,AMS,Sample: 41KM16-38-C2,"Carpenter, Stephen M. et al., 2012. The Little Paint Site: A Classic Toyah Camp on the South Llano River, Kimble County, Texas. SWCA Cultural Resources Report No. 12-429; Tx Dept. of Transportation Archeological Studies Program Report No. 148. ",Carpenter2012.pdf,404845,3374082,14,NAD 83,Inland,CTx,3374082,404845,14,,
-98.44,31.13,,41LM51,UGA-14421,"Test Unit 2, 23 cmbs ",,Charcoal,,1A,No,130,50,Corrected,130,50,-26.44,measured,150,50,AMS,,"Quigg, J. Michael, Matchen, Paul M., Ricklis, Robert A., Gray, Shannon, Frederick, Charles D., 2014, Eligibility Testing at Three Prehistoric Sites at Lynch Creek, Lampasas County, Texas, Index of Texas Archaeology: Open Access Gray Literature from the Lone Star State",Quigg 2014,553661,3443653,14,NAD 83,Inland,CTx,3443653,553661,14,,
-94.85,30.22,Luce Bayou,41LB42,D-AMS 016407,"XU17, Sub-unit EJ, Level 8, feature 19",Hearth or non-cultural root burn,Walnut nutshell, ,1A,No,135,20,Corrected,135,20,-33.7,Measured,0,0,AMS, ,"Costa, August G. and Anastasia Gilmer, et al., 2018. Excavations at the Luce Bayou Site (41LB42) A Mossy Grove Ridgeline Site in the Lower Trinity River Valley, Southeastern Texas. Moore Archeological Consulting, Inc. Report of Investigations Number 658.","Costa, 2018, 41LB42 (Full Report).pdf",322410,3344284,15,NAD 83,Riverine,TCP,3344284,322410,15,,
-97.78,31.36,,41CV115,UCIAMS-19138,"Unit #25R18, Feature #I (F6), Depth 1-6cm",,CHARCOAL,,1A,No,135,15,Corrected,135,15,-24.4,measured,,,,,Fort Hood Database,,615707,3470150,14,NAD 83,Inland,CTx,3470150,615707,14,,
-97.62,29.73,Santa Maria Creek,41CW104,Beta-226543,"Test Unit 3, Lot 20, Level 6, 45-55 cm, Soil horizon 2 Ab", ,charcoal, ,1A,No,140,40,Corrected,140,40,-24.6,measured,130,40,AMS, ,"2013. Rogers R. Archaeological Investigations at the Santa Maria Creek Site (41CW104) Caldwell County, Texas. Texas Antiquities Permit Nos. 4363/4636 and 4623. Atkins North America, Inc.",Rogers 2013,633125,3290080,14,NAD 83,Inland,TCP,3290080,633125,14,,
-99.39,27.01, ,41ZP845,Beta-207998,"STP2, Lvl. 2, Feature 7; 10-20 cmbs",Hearth,Charred material,"Cacti Seed, Echinocereus sp.",1A,No,140,40,Corrected,140,40,-22.6,Measured,100,40,AMS,Sample F207-C14- 1,"2006, Karbula et al; Cultural Resource Survey of Selected Portions of the Northern and Cantral Unsurveyed areas, International Falcon Dam and Resevoir Project, Zapata and Starr Counties, Texas;","Karbula, 2006.pdf",461252,2987082,14,NAD 83,Inland,TCP,2987082,461252,14,,
