taxon,part,site,region,age BC,calBP,DomTrait,stdev,stdev, PerDom,PerCrops,References
barley,grain,Mureybet,Levant North,-9675,-11625,2.111373,0.155,0.073,0.01,0.013,Van Zeist and Bakker-Heeres 1984b; Fuller et al. 2012
barley,grain," Jerf el Ahmar (Early, PPNA)",Levant North,-9300,-11250,2.117347,0.328,0.155,0.01,0.499,Willcox 2004; Fuller et al. 2012
barley,grain,Zahrat Adh-Dhra 2,Levant South,-8995,-10945,2.0987,0.49,0.234,0,0.113,Meadows 2004; Fuller et al. 2012
barley,grain,"Jerf el Ahmar (Late, EPPNB)",Levant North,-8800,-10750,2.4485,0.264,0.108,0.17,0.499,Willcox 2004; Fuller et al. 2012
barley,grain,Djade (EPPNB),Levant North,-8400,-10350,2.2216,0.259,0.117,0.06,0.352,Willcox 2004; Fuller et al. 2012
barley,grain,Ganj Dareh (EPPNB),East FC,-8040,-9990,2.87,0.334,0.116,0.37,0.302,Van Zeist et al 1986; Fuller et al. 2012
barley,grain,Aswad West (MPPNB),Levant South,-7600,-9550,2.606,0.19,0.073,0.24,0.749,Van Zeist and Bakker-Heeres 1982; Fuller et al. 2012
barley,grain,Ras Shamra (Vc),Levant North,-7200,-9150,2.725,0.232,0.085,0.3,0.748,Van Zeist and Bakker-Heeres 1984a; Fuller et al. 2012
barley,grain,Ramad (LPPNB),Levant South,-6975,-8925,2.783,0.36,0.129,0.33,0.384,Van Zeist and Bakker-Heeres 1982; Fuller et al. 2012
barley,grain,Bouqras (LPPNB),Levant North,-6950,-8900,3.12,0.347,0.111,0.49,0.129,Van Zeist & Waterbolk-van Rooijen 1985; Fuller et al. 2012
barley,grain,Yarim Tepe I (PN),North FC,-6100,-8050,3.006,0.353,0.117,0.43,0.997,Bakhteyev and Yanushevich 1980; Fuller et al. 2012
einkorn,grain,Qaramel,Levant North,-9725,-11675,1.329,0.279,0.21,0.153,0.328,"Willcox, personal communication, in Fuller et al. 2012"
einkorn,grain,Mureybet II/III,Levant North,-9675,-11625,1.229,0.155,0.126,0.066,0.013,Van Zeist 1970; Fuller et al. 2012
einkorn,grain,Jerf al Ahmar Early,Levant North,-9300,-11250,1.153,0.213,0.185,0,0.499,Willcox 2004; Fuller et al. 2012
