Region,Site/ Phase,Age,calBP,TimeBin,PhaseTime,"Sum
n.","Crop max.
n",Crop min. n,PerCropsMax,PerCropsMin,source
Levant S,Shubayqa,-12450,-14400,Natufian,12500,27414,198,186,0.72,0.68,Arranz-Otaegui et al. 2018
Levant S,Dederiyeh Cave,-11065,-13015,Natufian,12500,12367,218,209,0.02,0.02,Tanno et al. 2013
Levant N,Tell Abu Hureyra 1,-10650,-12600,Natufian,12500,19764,953,272,4.82,1.38,Moore et al 2000
Levant N,Tell Qaramel,-10000,-11950,Natufian,12500,12838,4208,2878,32.78,22.42,"Tanno and Willcox 2006a, Willcox et al. 2009, Willcox et al 2008"
Levant N,Tell Mureybit II,-9950,-11900,Natufian,12500,2186,28,8,1.28,0.37,van Zeist and Bakker-Heeres 1984b; Willcox and Fornite 1999
East FC,Sheikh-e Abad 1,-9620,-11570,Natufian,12500,507,1,0,0.2,0,Whitlam et al. 2018
Levant S,Dhra',-9500,-11450,PPNA,11000,4909,558,558,11.37,11.37,Colledge 2018
North FC,Körtik Tepe,-9500,-11450,PPNA,11000,762,9,7,1.18,0.92,Riehl et al 2012
North FC,Hallan Çemi Tepesi,-9485,-11435,PPNA,11000,13285,229,60,1.72,0.45,Savard 2005
North FC,Hasankey Höyük,-9440,-11390,PPNA,11000,11839,14,14,0.12,0.12,Miyake 2012
North FC,Demirköy,-9360,-11310,PPNA,11000,911,7,3,0.77,0.33,Savard 2005
North FC,Gusir Höyük 1,-9250,-11200,PPNA,11000,1465,220,58,15.02,3.96,Kabukcu et al 2021
Levant S,Iraq ed Dubb,-9230,-11180,PPNA,11000,851,102,85,11.99,9.99,Colledge 2001
Levant N,Tell 'Abr,-9120,-11070,PPNA,11000,4426,3509,3229,79.28,72.96,Willcox 2008
Levant N,Jerf al Ahmar,-9075,-11025,PPNA,11000,36164,18079,4701,49.99,13,Willcox and Fornite 1999; Willcox 1996; 2008
Levant N,Tell Mureybit III,-9075,-11025,PPNA,11000,3281,2394,37,72.97,1.13,van Zeist and Bakker-Heeres 1984b; Willcox and Fornite 1999
Levant S,Netiv Hagdud,-9075,-11025,PPNA,11000,13818,4190,207,30.32,1.5,Kislev 1997
North FC,M'lefaat,-9000,-10950,PPNA,11000,5218,1258,987,24.11,18.92,Nesbitt 1998; Savard 2005
Levant S,Zahrat Adh-Dhra (ZAD 2),-8995,-10945,PPNA,11000,31238,3515,3432,11.23,7.09,Edwards et al 2004; Meadow 2004
North FC,Göbekli Tepe,-8900,-10850,PPNA,11000,505,38,2,7.52,0.4,Neef 2003
North FC,Gusir Höyük 2,-8900,-10850,PPNA,11000,1079,226,55,20.95,5.19,Kabukcu et al 2021
Levant S,El-Hemmeh (PPNA),-8885,-10835,PPNA,11000,3554,290,107,8.16,3.01,White and Makarewicz 2011
Anatolia Central,Pınarbaşı,-8800,-10750,PPNA,11000,3386,28,26,0.01,0.01,Fairbairn et al 2014
Levant S,Tell Qarassa,-8590,-10540,PPNA,11000,8695,2793,2786,32.12,32.04,Arranz Ortegui et al 2016
Levant N,Dja'de,-8550,-10500,Early PPNB,9750,32583,11470,7029,35.2,21.57,Willcox 1996; 2008
North FC,Çayönü (CAIb),-8550,-10500,Early PPNB,9750,4060,1783,1624,43.92,40,van Zeist and de Roller 1992
Levant N,Tell El-Kerkh (2),-8430,-10380,Early PPNB,9750,23533,921,921,3.91,3.91,Tsuneki et al. 2006; Tanno and Willcox 2006; Tanno per comm. 2015
North FC,Gusir Hoyuk 3,-8350,-10300,Early PPNB,9750,1284,359,359,27.96,27.96,Kabukcu et al 2021
