Subregion,Site,calBCE,calBP,CropsMax,SheepGoat,Source (faunal data)
Anatolia Central,Pınarbaşı,-8800,-10750,0.000,0.590,Arbuckle et al.2014
Anatolia Central,Aşıklı Höyük,-7670,-9620,0.041,0.850,Arbuckle et al.2014
Anatolia Central,Çatalhöyük,-6900,-8850,0.420,0.650,Arbuckle et al.2014
Anatolia Central,Çatalhöyük,-6660,-8610,0.420,0.600,Arbuckle et al.2014
Anatolia Central,Erbaba,-6450,-8400,0.904,0.780,Arbuckle et al.2014
Anatolia Central,Çatalhöyük,-6400,-8350,0.700,0.840,Arbuckle et al.2014
Anatolia Central,Höyücek,-6250,-8200,0.980,0.350,Arbuckle et al.2014
Cyprus,Krittou Marottou 'Ais Yiorkis,-7550,-9500,0.302,0.160,Simmons et al. 2018
Cyprus,Kalavasos Tenta,-7175,-9125,0.085,0.280,Croft 2005
East FC,Jarmo,-7300,-9250,0.726,0.800,Stampfli 1983
Levant N,Tell Mureybit III,-9075,-11025,0.730,0.010,Gourichon 2004
Levant N,Jerf al Ahmar,-9075,-11025,0.500,0.020,Gourichon 2004
Levant N,Dja'de,-8550,-10500,0.352,0.010,Gourichon 2004
Levant N,El Kowm II,-6675,-8625,0.180,0.660,Gourichon 2004
Levant S,Shubayqa,-12450,-14400,0.007,0.030,Yeomans et al. 2017
Levant S,Netiv Hagdud,-9075,-11025,0.303,0.000,Martin and Edwards 2013
Levant S,Tell Aswad,-7600,-9550,0.749,0.500,Martin and Edwards 2013
Levant S,Wadi Jilat 7,-7550,-9500,0.091,0.000,Martin and Edwards 2013
Levant S,Tell Ramad,-7200,-9150,0.384,0.690,Martin and Edwards 2013
Levant S,Tell Ghoraifé,-7150,-9100,0.521,0.580,Martin and Edwards 2013
Levant S,Wadi Jilat 13,-6815,-8765,0.004,0.620,Martin and Edwards 2013
Levant S,Tell Ramad,-6750,-8700,0.384,0.690,Martin and Edwards 2013
Levant S,Wadi Fidan C,-6350,-8300,0.978,0.620,Martin and Edwards 2013
North FC,Hallan Çemi,-9485,-11435,0.017,0.320,Zeder and Lemoine 2023
North FC,Hasankeyf Höyük,-9440,-11390,0.001,0.800,Arbuckle et al.2014
North FC,Gusir Hoyuk 1,-9250,-11200,0.150,0.330,Kabukcu et al 2021
North FC,Nevalı Çori,-8275,-10225,0.857,0.110,Peters et al. 2005
North FC,Çayönü 1b,-8550,-10500,0.439,0.150,Arbuckle et al. 2014
North FC,Cafer Hoyuk  (13-9),-8100,-10050,0.449,0.540,Helmer 2008
North FC,Cafer Hoyuk (8-5),-7800,-9750,0.673,0.550,Helmer 2008
North FC,Cafer Hoyuk (4-3),-7350,-9300,0.537,0.540,Helmer 2008
North FC,Göbekli Tepe,-8900,-10850,0.075,0.950,Arbuckle et al.2014
North FC,Hallan Çemi,-9485,-11435,0.017,0.430,Arbuckle et al.2014
