"","LabID","Age","Error","Material","Taxa","d13C","Method","Longitude","Latitude","LocAccuracy","Period","SiteID","SiteName","Country","Province","Continent","Source","Reference","calib"
"68","A-10944",575,55,"charcoal",NA,NA,"Radiometric",-67.707274,-20.816069,2,NA,NA,"Bajo Laqaya","Bolivia",NA,"South America","Andes14C","van Noten 1982","shcal20"
"69","A-10945",600,90,"charcoal",NA,NA,"Radiometric",-67.707274,-20.816069,2,NA,NA,"Bajo Laqaya","Bolivia",NA,"South America","Andes14C","Nielsen 2002:185","shcal20"
"70","A-10946",270,45,"charcoal",NA,NA,"Radiometric",-67.707274,-20.816069,2,NA,NA,"Bajo Laqaya","Bolivia",NA,"South America","Andes14C","Nielsen 2002:185","shcal20"
"71","A-10947",680,50,"charcoal",NA,NA,"Radiometric",-67.708834,-20.815581,2,NA,NA,"Alto Laqaya","Bolivia",NA,"South America","Andes14C","Nielsen 2002:185","shcal20"
"213","A-14111",1810,55,"Plant fragments",NA,NA,NA,-68.175376,-22.857607,2,NA,NA,"Calar","Chile",NA,"South America","SCAR","Pestle et al 2015","shcal20"
"720","A-9590",720,55,"charcoal",NA,NA,"Radiometric",-67.8075,-20.834444,2,NA,NA,"Sutuj Uno","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"721","A-9591",905,75,"charcoal",NA,NA,"Radiometric",-67.757778,-20.825833,2,NA,NA,"Belen Khasa","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"722","A-9592",215,60,"charcoal",NA,NA,"Radiometric",-67.802222,-20.824722,2,NA,NA,"Orkho Sonko","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"723","A-9593",605,55,"charcoal",NA,NA,"Radiometric",-68.051109,-21.03843,2,NA,NA,"Talapaca","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"724","A-9596",985,60,"charcoal",NA,NA,"Radiometric",-67.74327,-20.79779,2,NA,NA,"Itapilla Kancha","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"725","A-9597",610,55,"charcoal",NA,NA,"Radiometric",-67.708834,-20.815581,2,NA,NA,"Alto Laqaya","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
"726","A-9598",615,45,"charcoal",NA,NA,"Radiometric",-67.708834,-20.815581,2,NA,NA,"Alto Laqaya","Bolivia",NA,"South America","Ziolkowski_et_al_1994","Nielsen 1998:82","shcal20"
