,LabID,Age,Error,Material,Taxa,d13C,Method,Longitude,Latitude,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,calib
2122,AA-2665,4830,200,BONE,XAD-2 purified,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,Stafford T. West Jr. R.A. Tyson 1989,intcal20
2126,AA-2666,5380,390,BONE,XAD-2 purified,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,NA,intcal20
2374,AA-2948,4900,70,BONE,glutamic acid,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,Stafford T. West Jr. R.A. Tyson 1989,intcal20
2376,AA-2949,5060,80,BONE,hydroxyproline,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,Stafford T. West Jr. R.A. Tyson 1989,intcal20
2377,AA-2950,4870,60,BONE,glycine,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,Stafford T. West Jr. R.A. Tyson 1989,intcal20
2378,AA-2951,4750,100,BONE,alanine,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,Stafford T. West Jr. R.A. Tyson 1989,intcal20
2379,AA-2952,1150,410,BONE,glycine,NA,AMS,-116.7357302,33.03555017,1,NA,CA-SDI-10940,SDM-W-34; Del Mar Man Site,USA,California,North America,UWyo2021,Stafford T. West Jr. R.A. Tyso 1989,intcal20
2508,AA-3248,3975,75,BONE,NA,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper H. C. 1994,intcal20
2804,AA-3748,2145,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2805,AA-3749,6865,60,BONE,fish otolith Cynoscion p.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2807,AA-3750,2715,50,BONE,fish otolith Atractoscion n.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2808,AA-3751,2320,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2809,AA-3752,3010,55,BONE,fish otolith Atractoscion n.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2810,AA-3753,4080,60,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2811,AA-3754,4480,60,BONE,fish otolith Atractoscion n.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2812,AA-3755,2690,65,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2813,AA-3756,4255,50,BONE,fish otolith Atractoscion n.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2814,AA-3757,2860,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2815,AA-3758,2115,50,BONE,fish otolith Atractoscion n.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2816,AA-3759,3075,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2818,AA-3760,2230,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2822,AA-3761,2015,60,BONE,fish otolith Umbrina r.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2828,AA-3762,2410,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2832,AA-3763,1870,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2833,AA-3764,2055,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2834,AA-3765,7215,70,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2835,AA-3766,1225,50,BONE,fish otolith Roncador s.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
2836,AA-3767,1930,45,BONE,fish otolith Cynoscion p.,NA,AMS,-117.7616253,33.70141709,1,NA,CA-ORA-378,Christ College site,USA,California,North America,UWyo2021,Koerper,intcal20
