CaseID,CaseStudy,Precip,Latitude,Longitude,AggID,TimePeriod,Time,Cycles,DomAnimal,Continent,Innovation,Innovation2,CycleRate,NumDates,ExpandK,YearsperDT,Kincrease
10,Southern California,dry,32.5,-118,Hg,4700-200,4500,6,0,N. America,1,Internal,0.00133333333333333,981,8,562.5,0.125
1,Central Texas,moderate,30.34,-98.62,Hg,4000-500,3500,4,0,N. America,1,Internal,0.00114285714285714,1769,6,583.333333333333,0.166666666666667
11,Western G. Basin,dry,39,-117,Hg,4700-200,4500,4,0,N. America,1,Internal,0.000888888888888889,920,6,750,0.166666666666667
21,SW Asia (FC),dry,35,38,Ag,11500-7000,4500,7,1,Eurasia,1,Internal,0.00155555555555556,6224,6,750,0.166666666666667
33,NW Australia,wet,-15,135,Hg,5000-500,4500,5,0,Australia,1,Internal,0.00111111111111111,559,6,750,0.166666666666667
3,C. Miss Valley (US),moderate,38,-90,Ag,5000-500,4500,3,0,N. America,1,Internal,0.000666666666666667,2660,5,900,0.2
12,SW Wyoming,dry,42,-107,Hg,8000-3500,4500,4,0,N. America,1,Internal,0.000888888888888889,3222,5,900,0.2
20,E China,moderate,34,115,Ag,11500-7000,4500,3,1,Eurasia,1,Internal,0.000666666666666667,1498,5,900,0.2
15,Central Andes,moderate,-16,-69,Ag,6500-1500,5000,4,1,S. America,1,Internal,0.0008,710,5,1000,0.2
17,N. Patagonia,dry,-39.5,-69.5,Hg,3000-200,2800,3,0,S. America,1,Internal,0.00107142857142857,163,4,700,0.25
2,Coastal Texas,moderate,27.7,-97.5,Hg,5000-500,4500,5,0,N. America,1,Internal,0.00111111111111111,926,4,1125,0.25
9,NW Coast ,wet,45,-124,Hg,5000-500,4500,5,0,N. America,1,Internal,0.00111111111111111,1844,4,1125,0.25
32,SE Australia,moderate,-35,148,Hg,5000-500,4500,5,0,Australia,1,Internal,0.00111111111111111,1324,4,1125,0.25
18,JapanNorth,wet,44,141,Hg,6500-3000,3500,3,0,Eurasia,1,Internal,0.000857142857142857,2382,3,1166.66666666667,0.333333333333333
5,Sonoran Desert,dry,31,-110,Ag,4900-400,4500,4,0,N. America,2,Mixed,0.000888888888888889,2562,7,642.857142857143,0.142857142857143
16,N. Mendoza,dry,-32.76,-69.93,Ag,3000-200,2800,2,1,S. America,2,Mixed,0.000714285714285714,191,6,466.666666666667,0.166666666666667
4,Chihuahua Desert (Jornada),dry,31,-106,Ag,4000-500,3500,1,0,N. America,2,Mixed,0.000285714285714286,3456,6,583.333333333333,0.166666666666667
6,Upland Southwest,dry,36,-110,Ag,4000-500,3500,3,0,N. America,2,Mixed,0.000857142857142857,2775,6,583.333333333333,0.166666666666667
13,Yucatan,wet,17.65,-89,Ag,4700-500,4200,2,0,N. America,2,Mixed,0.000476190476190476,1134,6,700,0.166666666666667
7,Fremont,dry,40,-112,Ag,2700-400,2300,0,0,N. America,2,Mixed,0,1919,5,460,0.2
14,SE US,wet,32,-85,Ag,4900-400,4500,4,0,N. America,2,Mixed,0.000888888888888889,879,4,1125,0.25
30,West S. Africa,dry,-31,20,Ag,2700-300,2400,3,1,Africa,2,Mixed,0.00125,1059,2,1200,0.5
25,S. France,moderate,43,5,Ag,8500-3500,3500,2,1,Eurasia,3,External,0.000571428571428572,4252,5,700,0.2
28,N Sea Basin,wet,56,8,Ag,6800-4300,2500,1,1,Eurasia,3,External,0.0004,5843,4,625,0.25
23,Greece,moderate,36,22,Ag,9500-5000,4500,3,1,Eurasia,3,External,0.000666666666666667,993,3,1500,0.333333333333333
31,East S. Africa,moderate,-28,30,Ag,2100-600,2100,1,1,Africa,3,External,0.000476190476190476,958,3,700,0.333333333333333
19,JapanSouth,moderate,35,130,Ag,3100-1000,2100,2,1,Eurasia,3,External,0.000952380952380952,5964,2,1050,0.5
8,NE US,wet,43,-75,Ag,2400-300,2100,0,0,N. America,3,External,0,1613,2,1050,0.5
27,S. Britain,wet,52,-1,Ag,7000-4500,2500,1,1,Eurasia,3,External,0.0004,14044,2,1250,0.5
26,Iberia,moderate,40,-3,Ag,8500-5000,3500,1,1,Eurasia,3,External,0.000285714285714286,4022,2,1750,0.5
29,N. France,wet,47,1,Ag,8500-4500,4000,0,1,Eurasia,3,External,0,1643,2,2000,0.5
24,Italy,moderate,39,14,Ag,9000-4000,5000,4,1,Eurasia,3,External,0.0008,1133,2,2500,0.5
22,West Central Europe,wet,49.5,12.5,Ag,8500-5950,2550,0,1,Eurasia,3,External,0,4567,1,2550,1
