CaseID,CaseStudy,FracZero,Latitude,Longitude,AggID,TimePeriod,Time,Cycles,DomAnimal,Continent,Innovation,Innovation2,CycleRate,NumDates,ExpandK,YearsperDT,Kincrease,BreaksMode,BreaksMax,BreakTimeB,BreakTimeE,Time2,Time3,InoPeriod,CycleAdopt,MeanGrow200
1,Central Texas,0.07,30.34,-98.62,Hg,4000-500,3500,4,0,N. America,1,Internal,0.00114285714285714,1769,6,583.333333333333,0.166666666666667,3,5,4000,775,3225,2500,4000-1500,1,2.66
2,Coastal Texas,0.03,27.7,-97.5,Hg,5000-500,4500,5,0,N. America,1,Internal,0.00111111111111111,926,5,900,0.2,4,4,5000,500,4500,2500,3000-500,1,2.33
3,Mid-continent US,0.22,38,-90,Ag,5000-500,4500,3,0,N. America,1,Internal,0.000666666666666667,2660,5,900,0.2,3,4,5000,650,4350,2500,4200-1700,1,1.75
4,Chihuahua Desert,0.21,31,-106,Ag,4000-500,3500,1,0,N. America,2,Mixed,0.000285714285714286,3456,6,583.333333333333,0.166666666666667,4,4,5000,700,4300,2500,3800-1300,0,5
5,Sonoran Desert,0.09,31,-110,Ag,4900-400,4500,4,0,N. America,2,Mixed,0.000888888888888889,2562,7,642.857142857143,0.142857142857143,3,5,4900,700,4200,2500,4400-1900,1,3.66
6,Upland Southwest,0.12,36,-110,Ag,4000-500,3500,4,0,N. America,2,Mixed,0.00114285714285714,2775,6,583.333333333333,0.166666666666667,5,5,4000,775,3225,2500,3800-1300,0,3.33
7,Fremont,0.2,40,-112,Ag,2700-400,2300,0,0,N. America,2,Mixed,0,1919,5,460,0.2,5,5,2700,800,1900,2500,2700-200,0,9
8,NE US_Canada,0.2,43,-75,Ag,2400-300,2100,0,0,N. America,3,External,0,1613,4,525,0.25,4,5,2400,300,2100,2000,2400-400,0,9
9,NW Coast ,0.04,45,-124,Hg,5000-500,4500,5,0,N. America,1,Internal,0.00111111111111111,1844,4,1125,0.25,3,4,5000,700,4300,2500,3000-500,1,2
10,Southern California,0.06,32.5,-118,Hg,4700-200,4500,6,0,N. America,1,Internal,0.00133333333333333,981,10,450,0.1,4,5,4700,300,4400,2500,3000-500,1,3.33
11,Western G. Basin,0.06,39,-117,Hg,4700-200,4500,4,0,N. America,1,Internal,0.000888888888888889,920,10,450,0.1,4,5,4700,700,4000,2500,4000-1500,1,9
12,SW Wyoming,0.13,42,-107,Hg,8000-3500,4500,4,0,N. America,1,Internal,0.000888888888888889,3222,6,750,0.166666666666667,3,5,8000,4700,3300,2500,8000-6500,0,2
